2026-07-03 18:36:01,544 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 18:36:01,552 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 18:46:55,065 | INFO | เริ่มต้นโปรแกรม
2026-07-03 18:46:55,066 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 18:46:55,795 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 18:46:55,808 | INFO | 💾 บันทึกข้อมูล -> data/20260703_184655.csv
2026-07-03 18:46:56,238 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 18:46:56,238 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 18:46:56,238 | INFO | เริ่ม AI Tournament
2026-07-03 18:46:56,240 | INFO | กำลัง Train Random Forest
2026-07-03 18:46:56,934 | INFO | กำลัง Train Gradient Boosting
2026-07-03 18:46:57,525 | INFO | กำลัง Train XGBoost
2026-07-03 18:46:57,704 | INFO | 
2026-07-03 18:46:57,704 | INFO | =============================================
2026-07-03 18:46:57,704 | INFO | 🏆 AI Leaderboard
2026-07-03 18:46:57,705 | INFO | =============================================
2026-07-03 18:46:57,705 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 18:46:57,705 | INFO | 2. Random Forest       44.94%
2026-07-03 18:46:57,705 | INFO | 3. XGBoost             44.38%
2026-07-03 18:46:57,705 | INFO | =============================================
2026-07-03 18:46:57,705 | INFO | 🏆 Winner : Gradient Boosting
2026-07-03 18:46:57,713 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 18:46:57,736 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 18:47:24,949 | INFO | เริ่มต้นโปรแกรม
2026-07-03 18:47:24,950 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 18:47:25,588 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 18:47:25,601 | INFO | 💾 บันทึกข้อมูล -> data/20260703_184725.csv
2026-07-03 18:47:25,893 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 18:47:25,893 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 18:47:25,893 | INFO | เริ่ม AI Tournament
